Name,Beta,Jensen Alpha,Sharpe Ratio,Treynor Ratio,Tracking Error,AUM
ETF MNC36 Likuid,1.032881,-0.030239,0.873515,0.122108,-0.025262,6724973672.750000
Cipta Proteksi IV,0.000000,0.000000,-2.208243,0.000000,-0.045694,119816896644.009995
Lautandhana Pasar Uang Optima,0.000000,0.000000,-8.926328,0.000000,0.005223,300606074563.919983
Manulife Saham Syariah Global Dividen Dolar As Kelas A3,0.000000,0.000000,-0.722352,0.000000,-0.030278,21791975.783980
Bahana Centrum Protected Fund 192,0.000000,0.000000,-2.236488,0.000000,-0.004408,539130853617.440002
Pinnacle Dana Obligasi Unggulan,0.580718,0.016020,-0.011513,-0.000332,0.027726,834204673260.089966
Insight Syariah V,0.000000,0.000000,-1.472736,0.000000,0.002263,44307834247.360001
Danareksa Proteksi 64,0.000000,0.000000,-2.818925,0.000000,-0.011631,469011206008.679993
Mega Asset Terproteksi 15,0.000000,0.000000,-1.108432,0.000000,0.004082,27429531362.480000
MNC Dana Terproteksi XX,0.000000,0.000000,-0.772619,0.000000,0.004372,328345073647.919983
Syailendra Capital Protected Fund 36,0.000000,0.000000,-1.552719,0.000000,-0.010803,147886720337.220001
Reksa Dana Syariah Terproteksi BNI AM Amanah II,0.000000,0.000000,-1.390970,0.000000,0.006235,83980237695.759995
Simas ETF IDX30,1.181548,0.024840,1.303202,0.172408,0.052323,9415895117.780001
BNP Paribas Prima II Kelas IK1,0.728198,-0.022146,-2.306554,-0.058331,-0.014557,59566802804.760002
SYARIAH CIMB PRINCIPAL ISLAMIC ASIA PACIFIC EQUITY SYARIAH (USD),0.000000,0.000000,-1.958013,0.000000,-0.205026,14371335.753170
SEQUIS BALANCE ULTIMA,0.667551,-0.063094,0.456895,0.056869,-0.113422,157362194314.019989
Shinhan Proteksi IV,0.000000,0.000000,-1.707822,0.000000,-0.011412,645762413147.959961
Mandiri Seri 211,0.000000,0.000000,-2.154931,0.000000,0.004691,75124444403.000000
Lautandhana Balanced Progressive Fund,0.842063,-0.212847,-0.681569,-0.101384,-0.236757,160555103602.010010
Mandiri Seri 151,0.000000,0.000000,-1.123438,0.000000,-0.592623,3397430694.770000
SIMAS INCOME FUND,0.361724,0.013722,0.209366,0.010017,0.031542,541383898316.510010
SYAILENDRA BALANCED OPPORTUNITY FUND KELAS A,0.709052,0.048930,1.026292,0.220392,0.004885,205911402023.720001
REKSA DANA SYARIAH PAN ARCADIA DANA SAHAM SYARIAH,0.538013,-0.082515,-0.642147,-0.157204,-0.080744,161783239511.299988
BNI-AM Indeks IDX30,1.181416,-0.004087,1.117973,0.147926,0.023377,1169648647960.479980
Aurora Balance,0.176404,-0.137024,-1.549499,-0.625380,-0.261704,9707659156.850000
HPAM Pendapatan Tetap Prima,-0.042732,-0.081331,-5.550235,1.931001,-0.110254,53626797.920000
EMCO GROWTH FUND,0.544357,-0.172216,-0.354274,-0.164981,-0.241193,64159721605.220001
Reksa Dana Syariah Pendapatan Tetap PNM Kaffah,0.617143,-0.056797,-1.602359,-0.119951,-0.046108,60512798569.269997
SCHRODER DANA ANDALAN II,0.040128,-0.074279,-7.051139,-1.878980,-0.047480,857957566355.260010
Batavia Global ESG Sharia Equity USD,0.098907,-0.022753,-0.211065,-0.234319,-0.018905,49941849.948540
Trimegah Terproteksi Futura 20,0.000000,0.000000,-1.887146,0.000000,0.001683,606855599565.310059
RHB Sharia Capital Protected Fund 3,0.000000,0.000000,-2.110949,0.000000,-0.014238,115426846342.960007
SYAILENDRA FIXED INCOME FUND,0.759898,-0.019296,-2.038205,-0.053312,-0.012592,92066557703.750000
PANIN DANA UTAMA PLUS 2,0.580652,-0.013273,-1.766538,-0.050778,-0.001565,209157298743.239990
Ganesha Abadi Kelas D,0.247669,-0.072943,-4.833789,-0.322439,-0.051939,125744966123.380005
BNI-AM Proteksi Acacia,0.000000,0.000000,-1.920630,0.000000,-0.020320,153684938631.160004
Bahana Explorer Equity Fund,1.154682,-0.069632,0.705664,0.091081,-0.046216,178636630015.640015
LAUTANDHANA EQUITY PROGRESIF,1.100976,-0.156818,0.067493,0.008949,-0.141532,39938288946.849998
Manulife OVO Bareksa Likuid,0.000000,0.000000,-32.831871,0.000000,0.028723,19516693835.599998
Capital Sharia Money Market,0.000000,0.000000,-25.575703,0.000000,0.035959,31668863322.369999
REKSA DANA HPAM ULTIMA EKUITAS 1,0.922386,0.116390,1.584500,0.277569,0.104641,296197951889.700012
Reksa Dana Syariah Eastspring Syariah Money Market Khazanah Kelas A,0.000000,0.000000,-58.588112,0.000000,0.009385,50525701109.870003
SAM Dana Obligasi Terproteksi 9,0.000000,0.000000,-1.855092,0.000000,-0.015064,77173424373.029999
Jasa Capital Saham Berkembang,1.273688,-0.497073,-1.332626,-0.238878,-0.455641,27551974.020000
Bahana Protected Fund 208,0.000000,0.000000,-2.392294,0.000000,-0.031400,32552172641.060001
Batavia Proteksi Maxima 8,0.000000,0.000000,-2.188945,0.000000,-0.006360,469435480815.229980
Principal Cash Fund Syariah 2,0.000000,0.000000,-21.955128,0.000000,0.023031,13937745158.370001
NET Dana Stabil,-0.024109,-0.016102,-2.253273,0.639959,0.012491,123516285827.399994
OSO FLORES EQUITY FUND,0.235378,-0.099724,-1.526702,-0.272292,-0.215476,212920016079.940002
Bahana Dynamic Plus Protected Fund 203,0.000000,0.000000,-0.481499,0.000000,-0.011236,36996189374.519997
Bahana Progressive Protected Fund 196,0.000000,0.000000,-1.150193,0.000000,-0.597437,42579423986.559998
Mega Asset Multicash Syariah,0.000000,0.000000,0.851970,0.000000,0.270771,29295062751.840000
Avrist Protected Fund 2,0.000000,0.000000,-0.975752,0.000000,0.007857,57801071824.959999
Bahana Pendapatan Tetap Regular,0.568284,-0.080378,-4.120437,-0.169359,-0.068325,386437064480.960022
Syailendra Providentia Money Market Fund,0.000000,0.000000,-15.947271,0.000000,0.043806,79309074541.570007
Principal Income Fund Syariah,0.406312,-0.032444,-3.125505,-0.107768,-0.015868,7608424302.520000
Mandiri Seri 188,0.000000,0.000000,-2.520566,0.000000,-0.023474,76358681532.309998
Star Equity II,1.049064,0.033631,1.100729,0.183443,0.041058,10864493225.910000
Panin Beta One,1.149842,-0.090955,0.594165,0.072282,-0.068271,63725035782.610001
Aurora Syariah Saham Amanah,-0.032708,-0.110787,-1.256218,3.383288,-0.106829,5461287739.350000
REKSA DANA SETIABUDI DANA OBLIGASI PRIMA,0.160396,-0.007141,-1.849448,-0.072440,0.016300,394677212198.650024
INSIGHT DEDICATE MIX FUND,0.235536,-0.079199,-1.188402,-0.184864,-0.194927,43464095379.050003
PANIN DANA PRIORITAS,0.140668,-0.055418,-1.077774,-0.242582,-0.185508,16827319798.340000
SIMAS SAHAM ULTIMA,0.318813,-0.085238,-0.631414,-0.115975,-0.188359,35791853643.629997
BATAVIA DANA LIKUID,0.000000,0.000000,-103.586113,0.000000,0.012215,550072344256.000000
PRATAMA SAHAM,1.070921,-0.125644,0.246713,0.034062,-0.114907,36831017718.820000
Bahana Progressive Protected Fund 189,0.000000,0.000000,-2.463458,0.000000,-0.023047,187187794777.679993
Trimegah Terproteksi 11,0.000000,0.000000,-1.470094,0.000000,0.019128,997932224619.579956
EASTSPRING INVESTMENTS VALUE DISCOVERY KELAS A,1.184789,-0.017832,0.995058,0.136334,0.010142,485147524162.070007
STAR ETF Sri Kehati,1.154962,0.030473,1.270338,0.177769,0.053932,11135487594.309999
PNM SAHAM AGRESIF,1.049613,0.018213,1.303620,0.168737,0.025723,13064942669.950001
Trimegah Dana Kas 1,0.000000,0.000000,-44.743347,0.000000,0.026755,14474406008.100000
PNM Falah,0.000000,0.000000,-31.481667,0.000000,0.024761,13355544049.270000
Insight Terproteksi 39,0.000000,0.000000,-2.133984,0.000000,-0.063977,171415272709.890015
MNC Dana Terproteksi Seri 23,0.000000,0.000000,-1.381072,0.000000,0.010378,73409875793.000000
Bahana Core Protected Fund USD 2,0.000000,0.000000,0.673930,0.000000,0.199853,3313108.354670
RHB Capital Protected Fund 49,0.000000,0.000000,-2.792838,0.000000,-0.111485,123852820957.050003
Danareksa Proteksi 72,0.000000,0.000000,-1.657699,0.000000,0.005963,1543000055869.580078
Pacific Equity Progresif Fund IV,0.505391,-0.261473,-1.087878,-0.365984,-0.336350,25323914229.750000
ARCHITAS OBLIGASI DOLLAR,0.723827,-0.134081,-3.403953,-0.213158,-0.126370,2061516.008920
Avrist Ada Kas Syariah,0.000000,0.000000,-19.164108,0.000000,0.028765,15934759564.879999
SCHRODER SYARIAH BALANCED FUND,0.442236,-0.034214,-0.468998,-0.081199,-0.032076,202150529606.079987
BATAVIA DANA OBLIGASI OPTIMAL,0.487571,-0.016677,-1.717792,-0.062124,-0.002371,693501712935.260010
MANULIFE DANA TUMBUH BERIMBANG,0.692672,-0.064410,0.434500,0.058397,-0.110935,182386711647.000000
Reksa Dana Corpus Theologia Fixed Income Fund,0.053563,-0.007423,-1.410292,-0.166502,0.019001,12760201052.150000
MNC DANA LIKUID,0.131363,0.003868,0.023619,0.001524,0.028119,37835470897.010002
Bahana Core Protected Fund 132,0.000000,0.000000,-1.635759,0.000000,-0.005842,121398725973.130005
STAR Money Market II,0.000000,0.000000,-0.400269,0.000000,0.046452,10729997.300000
Mandiri Seri 216,0.000000,0.000000,-1.787393,0.000000,0.001373,186661214381.510010
Eastspring Investments Value Discovery Kelas B,1.184306,0.008533,1.157066,0.158590,0.036435,2552582148469.779785
Panin Dana Obligasi Bersama Dua,0.209650,-0.001803,-0.965313,-0.036517,0.020263,281254103031.969971
PACIFIC EQUITY OPTIMUM FUND,0.462252,0.004889,0.650727,0.161961,-0.076518,39169567194.779999
Batavia Obligasi Utama,0.177540,-0.026784,-4.600047,-0.178778,-0.003821,504987548300.210022
Syailendra Balanced Growth Fund,0.331819,-0.082270,-0.617398,-0.096552,-0.183423,303447821316.960022
NET DANA FLEXI,0.775034,-0.067102,0.430105,0.064805,-0.101159,68010711424.690002
BNI-AM Proteksi Rajata,0.000000,0.000000,0.366883,0.000000,0.093171,153035785259.230011
CORFINA GROW-2-PROSPER ROTASI STRATEGIS,0.335344,-0.092818,-0.559869,-0.125400,-0.193437,164095157693.049988
TRAM ALPHA,0.601141,-0.097716,-0.070261,-0.011167,-0.158098,105507316823.000000
BNP Paribas Sukuk Negara,0.213339,-0.029079,-4.391965,-0.164223,-0.007116,57610767607.930000
Kresna Proteksi Cemerlang Seri 3,0.000000,0.000000,-1.752193,0.000000,-0.002448,36864326830.779999
BNP PARIBAS PROXIMA,0.687011,-0.010111,-1.668006,-0.042636,-0.001372,354838214286.799988
Danareksa Proteksi 75,0.000000,0.000000,-3.330050,0.000000,0.002290,2024442539083.280029
Trimegah Terproteksi 18,0.000000,0.000000,-2.105629,0.000000,0.000687,715565509016.660034
FWD Asset USD Opportunities Equity Fund,1.073070,-0.127807,0.247250,0.032281,-0.116745,796068.517640
Reksa Dana Pacific Equity Progresif Fund V,0.301607,0.047993,0.953365,0.310508,-0.057733,12498046924.150000
MANDIRI INVESTA AKTIF,0.664458,-0.055664,0.533187,0.067611,-0.106460,32852711021.009998
Maybank Dana Obligasi Negara,1.031575,-0.017287,-1.710783,-0.044677,-0.018169,8819801270.540001
Avrist Proteksi Spirit 12,0.000000,0.000000,-0.737278,0.000000,0.026186,14076481689.540001
Setiabudi Dana Proteksi 5,0.000000,0.000000,-2.124428,0.000000,-0.026483,218292100283.750000
HPAM PREMIUM 2,0.501550,-0.084735,-0.094827,-0.017561,-0.160192,145899723015.250000
Mandiri Seri 220,0.000000,0.000000,-2.121491,0.000000,0.005846,158516734504.000000
Insight Priority Fixed Income Fund,-0.050767,-0.045411,-9.936764,0.915040,-0.066997,115054.280000
SCHRODER PRESTASI GEBYAR INDONESIA II,0.739623,-0.020208,-2.057195,-0.055242,-0.012939,355818680002.710022
Bahana Premium Protected Fund USD 3,0.000000,0.000000,0.158574,0.000000,0.176539,3862683.614400
MAYBANK DANA EKUITAS,1.060161,-0.059100,0.761728,0.095639,-0.049992,15294347931.000000
PRINCIPAL CPF XIV,0.000000,0.000000,-0.995104,0.000000,0.011774,101361488934.649994
NIKKO BUMN PLUS,0.926377,-0.127393,0.088842,0.013867,-0.138539,17475007106.840000
PNM Dana Optima,0.279474,-0.015979,-2.072401,-0.085093,0.004138,11177497180.570000
TRAM PUNDI KAS 3,0.000000,0.000000,-0.995898,0.000000,0.033345,100099283868.690002
MANDIRI INVESTA EQUITY DYNAMO FACTOR,1.093629,-0.036137,0.855509,0.118342,-0.021963,31389862217.950001
HPAM Smart Protected XV,0.000000,0.000000,-1.916268,0.000000,0.003963,118924571684.240005
Indosterling Ekuitas Likuid Plus,1.194449,-0.293070,-0.583565,-0.093976,-0.263634,870825658.610000
SCHRODER DANA TERPADU II,0.668175,-0.071734,0.346016,0.044026,-0.121968,836526517174.530029
BNP Paribas Gemilang 2,0.000000,0.000000,-1.213482,0.000000,-0.228878,17370363334.380001
Danareksa Proteksi 68,0.000000,0.000000,-1.357722,0.000000,0.009354,151600921124.179993
DANAREKSA MAWAR KONSUMER 10 KELAS A,1.133906,-0.078200,0.641084,0.082420,-0.057928,349991841053.969971
Maybank CPF XVI,0.000000,0.000000,-1.780461,0.000000,-0.033866,156200291230.000000
Trimegah Terproteksi Lestari 18,0.000000,0.000000,-1.937726,0.000000,0.003445,116027802777.800003
Batavia Proteksi Maxima 2,0.000000,0.000000,-2.117743,0.000000,-0.013032,111222274400.860001
SAM Mutiara Nusa Campuran,0.908582,0.033069,1.219445,0.187781,0.019230,34706625802.879997
NIKKO INDAH NUSANTARA DUA,0.264619,-0.037318,-1.712258,-0.168943,-0.016787,40524666319.190002
Jasa Capital Pendapatan Terproteksi 1,0.000000,0.000000,-1.938898,0.000000,-0.013066,224419518681.549988
Panin Dana Obligasi Bersama,0.142873,-0.107484,-3.591128,-0.780221,-0.083554,230715757860.239990
Bahana Centrum Protected Fund 158,0.000000,0.000000,-3.914544,0.000000,-0.018214,192515290835.920013
Panin Dana Maksima,0.935171,-0.094644,0.340649,0.050180,-0.104458,1072322624235.869995
Emco Saham Barokah Syariah,-0.007082,-0.107539,-3.152310,15.180279,-0.103678,35867598313.360001
Setiabudi Dana Kombinasi Dinamis,0.933370,-0.065411,0.606272,0.081304,-0.075498,15326540476.600000
Mega Asset Terproteksi 13,0.000000,0.000000,-0.996206,0.000000,-0.541407,45064136358.739998
BATAVIA CAMPURAN UTAMA,0.036661,-0.056524,-2.735200,-1.390409,-0.202359,64229064870.540001
PACIFIC EQUITY FUND,0.308781,-0.025371,0.217112,0.069220,-0.130011,156329037577.500000
Insight Terproteksi 35,0.000000,0.000000,-1.946839,0.000000,-0.015471,11012670210.690001
Kresna Proteksi Sinar Gemilang Seri 3,0.000000,0.000000,-0.640055,0.000000,-0.031537,71298153608.339996
ASHMORE DANA OBLIGASI NUSANTARA,1.060910,-0.061178,-2.052235,-0.085585,-0.062879,1449433267414.000000
DANAMAS RUPIAH PLUS,0.000000,0.000000,-14.996757,0.000000,0.044806,2296087702658.080078
Trimegah Terproteksi Prima XXIII,0.000000,0.000000,-1.666443,0.000000,0.003637,72153599741.369995
REKSA DANA SYARIAH BAHANA MES SYARIAH FUND KELAS G,0.381483,-0.017637,-2.321692,-0.074151,-0.000368,232976995798.799988
INSIGHT COMMUNITY DEVELOPMENT,0.239196,-0.071297,-0.841105,-0.146684,-0.186471,402394424782.530029
BNI-AM Proteksi Nayottama,0.000000,0.000000,-1.986928,0.000000,-0.024704,45671290373.830002
SCHRODER DANA CAMPURAN PROGRESIF,0.668138,-0.002965,1.120661,0.146948,-0.053204,1926725881324.800049
PANIN GEBYAR INDONESIA II,0.861286,-0.021789,-2.038172,-0.053217,-0.017916,247344592159.679993
Bahana Progressive Protected Fund 187,0.000000,0.000000,-2.072038,0.000000,-0.001373,180015537646.989990
Batavia Proteksi Maxima 22,0.000000,0.000000,-2.448570,0.000000,-0.000609,84835293159.309998
Lautandhana Sharia Income Fund,0.453490,-0.055585,-1.681250,-0.150491,-0.040327,54609487961.870003
Mandiri Seri 175,0.000000,0.000000,-2.911139,0.000000,-0.035318,101841350904.139999
SAM SHARIA EQUITY FUND,0.731303,0.003400,0.004195,0.000816,0.004430,42494209177.320000
PROSPERA BALANCE,0.711100,0.000694,1.079852,0.152361,-0.043041,96634198781.880005
MANDIRI AKTIF,0.669581,-0.034090,0.792574,0.100473,-0.084110,115561025787.369995
EASTSPRING INVESTMENTS IDR HIGH GRADE KELAS A,0.833456,-0.043560,-2.796211,-0.080183,-0.038910,163782188011.920013
Sucorinvest Proteksi 30,0.000000,0.000000,0.004659,0.000000,0.071386,191192241831.779999
Majoris Sukuk Negara Indonesia,0.437743,-0.026558,-2.797856,-0.088589,-0.010860,358277517097.000000
Minna Padi Indraprastha Saham Syariah,0.156757,-0.134266,-1.194084,-0.860352,-0.131033,70704325310.360001
Avrist Proteksi Spirit 11,0.000000,0.000000,-1.621525,0.000000,-0.000300,36719252326.650002
FWD ASSET MONEY MARKET FUND,0.000000,0.000000,-78.219666,0.000000,0.009906,108674768945.000000
NET Dana Berimbang,0.149478,0.021892,1.831742,0.297844,-0.106864,168332269985.640015
Batavia Proteksi Maxima 10,0.000000,0.000000,-1.613625,0.000000,0.012298,67624670896.000000
Trimegah Balanced Absolute Strategy,0.606921,0.090999,1.466884,0.301321,0.031493,318359127176.229980
PNM Investa 11,0.000000,0.000000,0.334492,0.000000,0.078904,23479935875.950001
Eastspring Syariah Equity Islamic Asia Pacific Usd Kelas B,0.000000,0.000000,-2.043493,0.000000,-0.236321,53871790.299190
REKSA DANA TERPROTEKSI MANDIRI SERI 173,0.000000,0.000000,-2.347721,0.000000,-0.018584,517314670103.169983
Manulife Obligasi Negara Indonesia II Kelas I1,0.748970,-0.011769,-1.667294,-0.043633,-0.004760,627492727132.449951
Danareksa G20 Sharia Equity Fund Dollar,0.000000,0.000000,-0.274418,0.000000,0.035672,4288744.738480
Trimegah Terproteksi Futura 21,0.000000,0.000000,-1.100309,0.000000,0.012282,157543639265.130005
Sequis Proteksi Gemilang II,0.000000,0.000000,-2.304260,0.000000,-0.002939,565000127750.890015
PACIFIC EQUITY PROGRESIF FUND,0.414215,0.036374,0.877369,0.239199,-0.052305,134783674750.259995
Insight Terproteksi 60,0.000000,0.000000,-0.862881,0.000000,0.039974,256293046181.649994
MANDIRI SERI 80,0.000000,0.000000,-1.815618,0.000000,-0.000614,110350825838.679993
Mandiri Seri 209,0.000000,0.000000,-2.037443,0.000000,0.007172,80933259134.839996
BNI-AM Proteksi Albasia,0.000000,0.000000,-1.352953,0.000000,0.000604,102516078614.949997
PNM Arafah,0.000000,0.000000,-25.567127,0.000000,0.028397,12224008604.480000
SYARIAH CORFINA INVESTA SAHAM SYARIAH,0.409752,-0.054206,-0.626814,-0.136122,-0.051943,184572084577.559998
Asia Raya Syariah Berimbang Pemberdayaan Ekonomi Umat,0.027797,-0.060989,-2.000519,-2.197948,-0.057262,262848282128.239990
BATAVIA DANA OBLIGASI PLUS,0.708856,-0.011860,-1.775182,-0.044650,-0.003731,158757549744.799988
PANIN DANA UNGGULAN,0.717164,0.027697,1.205276,0.190006,-0.015120,220266381080.250000
PANIN DANA BERSAMA,0.683439,0.058260,1.366640,0.236630,0.010337,37008914905.970001
Eastspring IDR Fixed Income Fund Kelas B,0.707955,-0.008312,-1.583695,-0.039659,-0.000158,5697007373945.459961
NET DANA GEMILANG,0.045517,0.003724,0.321848,0.053886,0.030372,355683522158.119995
Sucorinvest Kahuripan Money Market Fund,0.000000,0.000000,-29.509960,0.000000,0.030446,315518394525.890015
Avrist Proteksi Spirit 10,0.000000,0.000000,-1.402711,0.000000,0.005978,39826320602.480003
MNC DANA SYARIAH EKUITAS,0.780198,-0.089272,-0.653203,-0.118255,-0.088429,747864592.760000
Star Money Market,0.000000,0.000000,-5.251296,0.000000,0.048124,90379057156.089996
PANIN DANA TELADAN,1.009717,0.084552,1.574067,0.235123,0.086023,566230701405.699951
LANCAR VICTORIA MERKURIUS,0.000000,0.000000,-17.812172,0.000000,0.039946,114107576493.139999
Majoris Saham Gemilang Indonesia,1.008167,-0.103679,0.343066,0.048546,-0.102442,14964758971.850000
PROSPERA BIJAK,0.975719,-0.029667,0.925836,0.120980,-0.033343,123038104068.619995
Batavia Proteksi Gebyar 9,0.000000,0.000000,-3.180159,0.000000,-0.042168,6382896.820000
Avrist Dana Terproteksi Spirit 2,0.000000,0.000000,-2.630750,0.000000,-0.031091,18844159706.490002
Pan Arcadia Ekuitas Progresif 2,0.771860,0.291426,1.117740,0.528948,0.256889,128892686577.089996
BNP Paribas Gemilang 3,0.000000,0.000000,-2.688756,0.000000,-0.030180,162599137185.959991
Bahana Primavera 99 Kelas A,1.155879,-0.031504,0.957080,0.124129,-0.007906,3944845680.850000
BNI-AM Proteksi Kanigara,0.000000,0.000000,-3.657328,0.000000,-0.013433,39054765372.650002
Syailendra Capital Protected Fund 24,0.000000,0.000000,-2.149112,0.000000,0.009379,103212060370.949997
ASHMORE DANA PASAR UANG NUSANTARA,0.000000,0.000000,-23.781158,0.000000,0.016944,1205470091176.000000
MAJORIS USD BALANCE INDONESIA,0.184617,-0.054823,-0.778421,-0.145571,-0.178260,11471461.656760
Nusadana Proteksi 7,0.000000,0.000000,-1.733723,0.000000,-0.011946,235228804724.829987
Ashmore Providentia Balanced Nusantara,0.935317,-0.108234,0.282318,0.035666,-0.118026,43485189398.000000
Semesta Dana Obligasi I,0.000000,0.000000,-2.556168,0.000000,0.018783,4316695497.430000
MANULIFE DANA CAMPURAN II,0.570578,-0.065252,0.297345,0.037024,-0.130260,830182519533.000000
Asia Raya Saham Berkembang,0.000000,-0.070784,0.000000,0.000000,-0.215297,329516937990.880005
Setiabudi Dana Obligasi Plus,0.118753,0.005331,0.208007,0.016974,0.029935,151129638125.890015
SAM Dana Obligasi 8,0.000000,0.000000,-5.226713,0.000000,-0.024675,88016565770.919998
SAMUEL DANA OBLIGASI TERPROTEKSI,0.000000,0.000000,-1.085584,0.000000,-0.633313,44301988409.570000
Prospera Proteksi VII,0.000000,0.000000,-2.185907,0.000000,-0.034859,12043251385.680000
PREMIER PROTEKSI IX,0.000000,0.000000,-1.461658,0.000000,-0.006937,225558911527.429993
Bahana ETF Bisnis 27,1.170389,0.047759,1.471298,0.192191,0.073553,159945988799.989990
Eastspring Proteksi Citadel 5,0.000000,0.000000,-2.142634,0.000000,-0.002206,53070230025.089996
PNM Terproteksi Investa 29,0.000000,0.000000,-2.658449,0.000000,-0.000309,59100755977.419998
Syailendra Capital Protected Fund 37,0.000000,0.000000,-0.814997,0.000000,0.017782,68340462051.669998
Syailendra Capital Protected Fund 30,0.000000,0.000000,-4.728295,0.000000,0.031138,150376925686.070007
Cipta Obligasi USD,1.241665,-0.167239,-2.015374,-0.162608,-0.173986,14721667.582880
SIMAS SYARIAH BERKEMBANG,0.672700,-0.051856,-0.447590,-0.080920,-0.050601,11244809419.590000
